# GT DIGEST pasted from the red-zone report 'myldo' (build fff0d7a9a, 2026-06-10)
# columns: f[Hz], |Z|[ohm], Zph[deg], PSRRatt[dB], Hph[deg], Sv[V/rtHz]
# corner 100u
1.0000e+03, 0.7879, 60.08, 70.53, 88.19, 7.596e-06
1.5851e+03, 1.153, 69.92, 66.53, 88.78, 5.036e-06
2.5125e+03, 1.763, 76.78, 62.53, 89.09, 3.306e-06
3.9826e+03, 2.752, 81.18, 58.52, 89.19, 2.286e-06
6.3127e+03, 4.336, 83.8, 54.52, 89.12, 1.701e-06
1.0006e+04, 6.854, 85.1, 50.52, 88.86, 1.332e-06
1.5861e+04, 10.84, 85.34, 46.53, 88.35, 1.065e-06
2.5141e+04, 17.15, 84.59, 42.54, 87.49, 8.568e-07
3.9850e+04, 27.05, 82.7, 38.57, 86.11, 6.891e-07
6.3167e+04, 42.35, 79.31, 34.65, 83.96, 5.526e-07
1.0012e+05, 65.19, 73.91, 30.83, 80.76, 4.394e-07
1.5871e+05, 96.7, 66.12, 27.24, 76.46, 3.426e-07
2.5157e+05, 134.1, 56.37, 24.02, 71.8, 2.589e-07
3.9875e+05, 169.8, 46.73, 21.16, 68.52, 1.906e-07
6.3206e+05, 199.1, 40.12, 18.37, 67.81, 1.424e-07
1.0019e+06, 227.9, 38.07, 15.29, 68.26, 1.123e-07
1.5881e+06, 270, 39.51, 11.91, 67.25, 9.361e-08
2.5172e+06, 341.4, 41.03, 8.457, 62.91, 8.02e-08
3.9900e+06, 448.7, 38.99, 5.278, 54.5, 6.782e-08
6.3246e+06, 575.1, 32.14, 2.74, 42.62, 5.407e-08
1.0025e+07, 681.7, 22.22, 1.095, 29.27, 3.934e-08
1.5891e+07, 739.7, 12.09, 0.3139, 17.03, 2.621e-08
2.5188e+07, 754.3, 3.571, 0.1145, 7.422, 1.663e-08
3.9925e+07, 748.6, -3.478, 0.1651, 0.09373, 1.078e-08
6.3285e+07, 733.6, -10.74, 0.3284, -6.681, 7.697e-09
1.0031e+08, 699, -19.72, 0.7281, -14.31, 6.095e-09
1.5900e+08, 628.6, -30.74, 1.605, -22.83, 5.015e-09
2.5204e+08, 519.8, -42.65, 3.146, -30.63, 4.004e-09
3.9950e+08, 395.6, -53.49, 5.253, -35.06, 3.03e-09
6.3325e+08, 284.1, -62.27, 7.527, -34.55, 2.201e-09
1.0038e+09, 196.3, -69.23, 9.514, -29.5, 1.552e-09
1.5910e+09, 131.5, -74.57, 10.91, -21.81, 1.068e-09
